variant,round,sim_time_s,round_time_s,bottleneck_worker,test_accuracy,test_loss,theoretical_error,empirical_error,kappa_mean,epsilon,recalibrated
ef,9,0.027714480829835568,0.002771448082983557,5,0.3988,2.158192687988281,1.3089840360970326,0.5913301557302475,0.20113115026611936,1.361613330245018,False
ef,19,0.055428961659671164,0.002771448082983557,5,0.5278,1.928808380126953,2.0167427064536483,0.9689667224884033,0.12474212458380157,1.361613330245018,False
ef,25,0.07226976460754171,0.0029835625329527474,5,0.6326,1.724109426879883,2.754622628461637,1.0955316126346588,0.11428336691512338,1.361613330245018,True
ef,29,0.0842040147393527,0.0029835625329527474,5,0.6482,1.5645627105712892,2.870100118868955,1.0630103051662445,0.100603195193388,1.361613330245018,False
ef,39,0.11403964006888016,0.0029835625329527474,5,0.7371,1.157522171020508,3.6559090824151066,1.1273362636566162,0.08360948464157625,1.361613330245018,False
ef,49,0.14387526539840773,0.0029835625329527474,5,0.8098,0.8739511810302735,4.258247975820356,0.9218828678131104,0.06457134120087592,1.361613330245018,False
ef,50,0.1459712978642553,0.0020960324658475683,5,0.8093,0.8527510650634765,6.127185542148773,1.7892274344339967,0.0701995275796642,1.361613330245018,True
ef,59,0.16483559005688353,0.0020960324658475683,5,0.836,0.7060378341674804,7.188302770836818,3.664430239237845,0.14717791468466956,1.361613330245018,False
ef,69,0.18579591471535933,0.0020960324658475683,5,0.8394,0.6101887283325196,5.987420644674268,3.020811213646084,0.16799438363445138,1.361613330245018,False
ef,75,0.19974198936864795,0.0034659123240507296,5,0.8451,0.588733723449707,26.799096121975108,2.7719045877456665,0.1262706454299463,1.361613330245018,True
ef,79,0.21360563866485083,0.0034659123240507296,5,0.8633,0.537565803527832,3.567303979088429,0.31202058494091034,0.07371565757243422,1.361613330245018,False
ef,89,0.248264761905358,0.0034659123240507296,5,0.8756,0.4904169921875,2.4445472533961956,0.3248812109231949,0.03515499706199626,1.361613330245018,False
ef,99,0.2829238851458655,0.0034659123240507296,5,0.8809,0.4554187469482422,2.804448738502638,0.33157478767228943,0.03208972230060949,1.361613330245018,False
ef,100,0.2840932772558578,0.0011693921099923145,9,0.8803,0.45167901611328126,31.72827402949192,13.378961712121964,0.11051284452953664,1.361613330245018,True
ef,109,0.29461780624578887,0.0011693921099923145,9,0.8863,0.43002739028930664,30.579424355633623,70.35217666625977,0.8444398464372666,1.361613330245018,False
ef,119,0.30631172734571227,0.0011693921099923145,9,0.8892,0.4111864822387695,31.913755808687572,102.33073663711548,0.9788195975919605,1.361613330245018,False
ef,125,0.31774547657964197,0.005586788683968018,0,0.8867,0.4018966148376465,1.0159256075992669,0.9062674343585968,0.8378517871633747,1.361613330245018,True
ef,129,0.340092631315514,0.005586788683968018,0,0.8903,0.39174368057250974,1.0558064676842935,0.029213089030236006,0.34803788082908826,1.361613330245018,False
ef,139,0.395960518155194,0.005586788683968018,0,0.8951,0.3755631317138672,1.32374175531788,0.038727096281945705,0.043652098872038074,1.361613330245018,False
ef,149,0.45182840499487403,0.005586788683968018,0,0.8983,0.36494012908935547,1.163163010717367,0.025796635542064905,0.010354367286004135,1.361613330245018,False
