scheme,K,round,sim_time_s,round_time_s,test_accuracy,test_loss,theoretical_error,empirical_error,epsilon,recalibrated,alpha_w0,alpha_w1,alpha_w2,alpha_w3,alpha_w4,alpha_w5,alpha_w6,alpha_w7,r_w0,r_w1,r_w2,r_w3,r_w4,r_w5,r_w6,r_w7
static,0,244,0.2903898977063452,0.0011852648885973312,0.9138,0.3054429298400879,4.80457266893053,6.067357252934016,2.135229957103729,False,2.9181466102600098,1.6476662158966064,3.430556297302246,1.5552847385406494,0.9511690139770508,2.857680559158325,3.634326457977295,1.5596392154693604,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,249,0.29631622214933184,0.0011852648885973312,0.9074,0.3081481773376465,5.195945797711092,5.75812767946627,2.135229957103729,False,4.122175216674805,1.9239299297332764,5.257145404815674,6.259367942810059,2.073791265487671,2.953245162963867,2.063472270965576,1.2901816368103027,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,254,0.3022425465923185,0.0011852648885973312,0.9137,0.30294354248046873,4.7785862140709945,5.905337547883391,2.135229957103729,False,2.207390785217285,2.5632660388946533,3.028325080871582,3.3509271144866943,3.064764976501465,1.8385199308395386,1.0901753902435303,2.4513325691223145,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,259,0.3081688710353051,0.0011852648885973312,0.9124,0.3017151947021484,7.335844873336861,6.229260104824789,2.135229957103729,False,2.7284209728240967,3.428925037384033,1.1008992195129395,1.8680145740509033,2.2041778564453125,4.151568412780762,3.601703643798828,3.1468658447265625,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,264,0.31409519547829173,0.0011852648885973312,0.9126,0.30229780883789065,6.384759593608277,5.664962222101167,2.135229957103729,False,3.669222354888916,2.884455680847168,4.323894023895264,2.328202247619629,1.6394566297531128,2.6978886127471924,4.375066757202148,3.1361610889434814,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,269,0.32002151992127836,0.0011852648885973312,0.9115,0.30256290435791017,6.720945725285225,6.338051959872246,2.135229957103729,False,3.0876145362854004,3.854534149169922,4.9697136878967285,4.482290744781494,2.629513740539551,4.569178581237793,2.189846992492676,1.4903775453567505,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,274,0.325947844364265,0.0011852648885973312,0.9137,0.296545677947998,9.431134368427825,7.104188250959851,2.135229957103729,False,2.8340978622436523,1.3786401748657227,7.438136577606201,1.619855523109436,1.7982430458068848,3.997708559036255,2.4702210426330566,5.523349761962891,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,279,0.3318741688072516,0.0011852648885973312,0.9167,0.29337970809936526,8.021970384034947,5.742905609309673,2.135229957103729,False,2.112626314163208,5.529675483703613,4.434230804443359,2.2433581352233887,5.04606819152832,3.6592442989349365,2.8674325942993164,3.83026123046875,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,284,0.33780049325023825,0.0011852648885973312,0.9131,0.30276209259033204,7.88350095837265,6.456804123241454,2.135229957103729,False,5.690577030181885,3.63112735748291,6.244393825531006,1.6501061916351318,2.2578623294830322,4.534982204437256,2.036379814147949,2.853480339050293,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,289,0.3437268176932249,0.0011852648885973312,0.915,0.29375766983032225,6.185198238586889,5.913207852048799,2.135229957103729,False,1.6040503978729248,2.938682794570923,3.1838812828063965,2.2249417304992676,2.2538204193115234,3.2793190479278564,3.5756068229675293,2.608690023422241,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
